traceur,nov. 2016,déc. 2016,jan. 2017,fév. 2017,mars 2017,avr. 2017,mai 2017,juin 2017,juil. 2017,août 2017,sept. 2017,oct. 2017,nov. 2017,déc. 2017,jan. 2018,fév. 2018,mars 2018
Chausson Pullman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouchons de Dollemard,0,0,2,16,11,1,0,2,0,0,0,0,0,2,18,2,4
Cartouche HP,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,1
Décoration de Noël,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
Pot de yaourt Pascual,0,0,1,0,1,0,0,1,0,0,2,2,0,0,4,2,0
Seringue MacKesson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouchon Zp,0,0,2,2,6,1,0,2,0,0,0,1,0,1,11,1,0
Trappe de casier à homard,0,0,0,1,1,2,0,2,0,0,3,4,0,0,3,0,1
Flotteur translucide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Média filtrant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Téléphone Garfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pot de lait en poudre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dosette de lait en poudre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballon gonflable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microlax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petit phare rouge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
